,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hilo,20,US,1505411760,65,19.73,-155.09,78.8,4.7
1,Hopelchen,40,MX,1505410920,70,19.77,-89.85,89.6,5.82
2,Carnarvon,0,AU,1505416514,98,-24.87,113.63,65.4,4.16
3,Makakilo City,1,US,1505411880,65,21.35,-158.09,82.4,3.36
4,Albany,75,US,1505415240,73,42.65,-73.76,78.8,8.05
5,Hokitika,92,NZ,1505416514,93,-42.72,170.97,55.23,19.26
6,Port Hawkesbury,1,CA,1505415600,57,45.62,-61.35,77.0,8.05
7,Bay Roberts,40,CA,1505415600,60,47.6,-53.26,71.6,18.34
8,Balclutha,56,NZ,1505416515,71,-46.23,169.75,52.89,11.77
9,Bambous Virieux,20,MU,1505412000,77,-20.34,57.76,66.2,9.17
10,Huilong,92,CN,1505416516,98,31.81,121.66,74.04,26.53
11,Maragogi,76,BR,1505416516,96,-9.01,-35.22,74.76,11.77
12,Rjukan,80,NO,1505416516,92,59.88,8.59,43.71,3.15
13,Jeddah,0,SA,1505412000,52,21.52,39.22,93.2,3.38
14,Matagami,75,CA,1505412000,58,49.75,-77.63,53.6,6.93
15,Qaqortoq,75,GL,1505415000,48,60.72,-46.03,66.2,16.11
16,Cape Town,0,ZA,1505412000,72,-33.93,18.42,59.0,16.11
17,East London,40,ZA,1505412000,82,-33.02,27.91,60.8,5.82
18,Montrose,40,US,1505414520,35,38.48,-107.88,84.2,4.7
19,Dikson,80,RU,1505416518,100,73.51,80.55,38.76,17.81
20,Rikitea,88,PF,1505416518,100,-23.12,-134.97,69.81,10.31
21,Ponta do Sol,20,PT,1505415600,69,32.67,-17.1,73.4,20.8
22,Nanortalik,92,GL,1505416519,92,60.14,-45.24,40.92,23.73
23,Esperance,88,AU,1505416519,60,-33.87,121.9,51.54,5.5
24,Atuona,64,PF,1505416520,100,-9.8,-139.03,80.34,15.23
25,Saint-Louis,20,SN,1505415600,89,16.02,-16.49,84.2,11.41
26,Tahoua,0,NE,1505412000,35,14.89,5.27,98.6,9.17
27,Baijiantan,20,CN,1505416520,69,45.63,85.18,52.44,2.15
28,Bujaru,36,BR,1505416521,72,-1.51,-48.04,86.28,5.06
29,Egvekinot,12,RU,1505416521,86,66.32,-179.17,19.05,2.37
30,Najran,5,SA,1505412000,16,17.49,44.13,86.0,6.93
31,Bluff,80,NZ,1505416420,99,-46.6,168.33,51.72,1.36
32,Trevi,0,IT,1505415000,77,41.9,12.49,73.4,5.82
33,Peniche,0,PT,1505415600,72,39.36,-9.38,64.4,13.87
34,Gorom Gorom,0,BF,1505416522,51,14.44,-0.24,90.15,3.27
35,Tiksi,80,RU,1505416523,100,71.69,128.87,31.11,4.27
36,Codrington,92,AU,1505416523,97,-38.27,141.97,53.7,17.13
37,Petropavlovsk-Kamchatskiy,44,RU,1505412000,93,53.05,158.65,39.2,4.47
