,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mahebourg,75,MU,1505260800,78,-20.41,57.7,71.6,9.17
1,Boa Vista,0,BR,1505263732,91,2.82,-60.67,79.29,3.15
2,Ancud,92,CL,1505263732,98,-41.87,-73.82,47.43,6.73
3,Katsuura,20,JP,1505262600,65,35.13,140.3,82.4,9.17
4,Salalah,75,OM,1505260200,83,17.02,54.09,78.8,3.36
5,Iqaluit,90,CA,1505263260,100,63.75,-68.51,35.6,3.36
6,Bubaque,75,GW,1505260800,94,11.28,-15.83,75.2,3.36
7,Busselton,0,AU,1505263457,100,-33.65,115.33,53.28,5.95
8,Sorland,8,NO,1505263733,94,67.67,12.69,55.17,8.19
9,Carnarvon,0,AU,1505263733,93,-24.87,113.63,65.34,19.71
10,Kamenka,0,RU,1505263733,51,51.32,42.77,60.21,10.2
11,Belyy Yar,75,RU,1505260800,71,53.6,91.39,50.0,11.18
12,Hobyo,8,SO,1505263734,88,5.35,48.53,76.05,22.95
13,Norman Wells,40,CA,1505260800,71,65.28,-126.83,50.0,3.36
14,Gerash,0,IR,1505260800,44,27.67,54.14,78.8,2.04
15,Balclutha,56,NZ,1505263734,100,-46.23,169.75,51.57,4.94
16,El Trompillo,75,BO,1505260800,53,-17.8,-63.17,75.2,4.7
17,Barenburg,40,DE,1505262000,82,52.62,8.8,55.4,17.22
18,Kununurra,0,AU,1505260800,42,-15.77,128.73,82.4,1.12
19,Russell,1,US,1505260560,32,38.9,-98.86,84.2,6.93
20,Kashechewan,0,CA,1505263736,52,52.3,-81.62,67.68,12.21
21,Gialo,0,LY,1505263736,39,29.03,21.55,81.81,11.99
22,Arraial do Cabo,0,BR,1505263736,87,-22.97,-42.03,71.28,22.73
23,Lyaskelya,44,RU,1505263737,92,61.77,31.02,52.56,2.93
24,Yellowknife,90,CA,1505260800,100,62.46,-114.35,46.4,11.41
25,Tuktoyaktuk,75,CA,1505260800,76,69.45,-133.04,50.0,12.75
26,Camacha,40,PT,1505262600,83,33.08,-16.33,73.4,16.11
27,New Norfolk,75,AU,1505260800,76,-42.78,147.06,50.0,6.93
28,Mwense,0,ZM,1505263737,41,-10.38,28.7,61.83,6.51
29,Mathura,8,IN,1505263464,96,27.5,77.68,73.35,2.93
30,Nanortalik,12,GL,1505263737,95,60.14,-45.24,35.91,5.17
31,Along,36,IN,1505263738,79,28.17,94.77,66.33,1.81
32,Longyearbyen,40,SJ,1505260200,98,78.22,15.64,37.4,20.8
33,Chuy,12,UY,1505263738,92,-33.7,-53.46,51.57,7.4
34,Tasiilaq,0,GL,1505260200,96,65.61,-37.64,37.4,12.75
35,Innisfail,80,AU,1505263738,79,-17.53,146.03,69.75,3.04
36,Hermanus,48,ZA,1505263471,94,-34.42,19.23,45.72,3.6
37,Amparihy,0,MG,1505260800,73,-25.02,46.97,69.8,20.8
38,Port Alfred,92,ZA,1505263738,95,-33.59,26.89,65.79,4.72
39,Saskylakh,36,RU,1505263739,80,71.92,114.08,30.69,5.5
40,Bluff,64,NZ,1505263739,93,-46.6,168.33,52.92,12.1
41,Ushuaia,20,AR,1505260800,64,-54.8,-68.3,33.8,11.41
42,Bunbury,0,AU,1505263509,78,-33.33,115.63,46.35,3.15
43,Cockburn Town,0,TC,1505263504,97,21.46,-71.14,83.43,3.15
44,Victoria,1,CA,1505262900,68,48.43,-123.37,64.4,3.36
45,Saint Anthony,1,US,1505261700,61,45.02,-93.22,82.4,5.61
46,Egvekinot,8,RU,1505263740,68,66.32,-179.17,37.71,3.38
47,Petropavlovsk-Kamchatskiy,0,RU,1505260800,62,53.05,158.65,53.6,2.24
48,Tottori,75,JP,1505260800,69,35.5,134.23,77.0,6.93
49,Poum,32,NC,1505263743,100,-20.23,164.02,73.17,8.63
